382,387,9304.06,9131.25
贾琼之母,7,3975.08,-1946.89,null
贾瑞,7,-3075.33,-1687.56,null
贾瑞之母,7,-3119.42,-1494.35,null
贾瑞之父,7,-2862.5,-1543.92,null
贾璜,7,-1564.85,1820.02,null
贾芸,7,4195.82,-707.97,null
贾芹,7,4285.29,1251.17,null
贾菌,7,1815.4,287.236,null
贾蓉,3,-697.761,1491.03,../SocialNetworkAnalist/img/jr.png
贾蔷,3,376.173,432.078,null
贾赦,2,1507.97,1071.02,../SocialNetworkAnalist/img/js.png
贾迎春,2,2053.9,2100.33,../SocialNetworkAnalist/img/jyinc.png
贾雨村子,7,-3668.06,-2122.89,null
赖大,7,-1432.8,4113.2,null
赖大的女儿,7,-1270.73,4183.88,null
赖嬷嬷,7,-1577.27,4214.05,null
赖尚荣,7,-1462.91,3938.76,null
赵亦华,2,-1628.47,-1390.83,null
赵国基,7,1616.69,-1795.41,null
赵天栋,7,-461.201,147.735,null
赵天梁,7,-664.779,391.766,null
赵姨娘,2,1447.03,-1604.83,null
赵嬷嬷,2,-491.93,332.778,null
迎春乳母,2,1954.98,2562.57,null
通判傅试,7,635.234,-1213.28,null
邢夫人,2,1059.07,1498.31,../SocialNetworkAnalist/img/xfr.png
邢岫烟,2,-818.514,743.728,null
邢德全,7,972.434,1668.16,null
邢忠,7,165.174,1150.43,null
金彩,7,2914.32,82.4587,null
金文翔,7,2815.42,253.646,null
金氏,7,-1398.81,1732.19,null
金荣,7,-1175.44,1827.8,null
金鸳鸯,2,2644.23,71.122,null
钱槐,7,1377.66,-1387.28,null
银蝶,3,5.6172,2980.73,null
锄药,2,-1315.59,-1844.2,null
锦乡侯,7,-31.8789,4436.01,null
锦乡侯诰命,7,-173.24,4503.7,null
锦田侯诰命,7,-2523.69,-3789.38,null
镇国公诰命,7,2939.04,3458.7,null
镇国公诰命长男,7,3194.28,3229.26,null
长安原任守备,7,3452.33,2520.39,null
长安府府太爷,7,1808.43,3667.36,null
陈瑞文,7,-3194.27,3233.1,null
陈翼,7,-3306.29,3146.84,null
隆儿,2,9.62938,2258.27,null
雪雁,2,-103.191,-2186.54,null
韩奇,7,98.8199,4350.7,null
香菱,7,-3804.38,664.248,null
马尚,7,3777.55,-2549.69,null
马贩子王短腿,7,4353.26,-1100.89,null
马道婆,7,-2411.58,-3877.79,null
马魁,7,3640.22,-2521.98,null
鲍二,2,576.375,2279.59,null
鹦鹉,2,2265.62,-260.325,null
麝月,2,-732.007,-1050.32,null
龄官,7,300.107,267.016,null
三姑娘,甄应嘉,女,1,0.9
东安郡王穆莳拜,东平郡王,子,1,0.9
丰儿,王熙凤,丫鬟,1,0.6
二姑娘,甄应嘉,女,1,0.9
于老爷,净虚,施主,1,0.5
伴鹤,贾宝玉,奴仆,1,0.6
何三,周瑞,干儿子,1,0.7
何婆,何春燕,母亲,1,0.9
何婆,芳官,干娘,1,0.7
何春燕,贾宝玉,丫鬟,1,0.6
佩凤,贾珍,妾,1,0.7
侍书,贾探春,丫鬟,1,0.6
侯孝康,侯明,孙子,1,0.7
保宁侯之子,王子腾之女,夫,1,1
倪二,贾芸,友人,1,0.7
倪二女儿,倪二,女,1,0.9
倪儿娘子,倪二,妻,1,1
偕鸾,贾珍,妾,1,0.7
傅秋芳,傅试,妹,1,0.8
傻大姐,贾母,丫鬟,1,0.6
傻大姐的娘,傻大姐,母亲,1,0.9
入画,贾惜春,丫鬟,1,0.6
兴儿,贾琏,奴仆,1,0.6
冯紫英,神武将军冯唐,子,1,0.9
冷子兴,周瑞,女婿,1,0.7
净虚,智能儿,师父,1,0.8
凤姐之祖王夫人之父,王公,子,1,0.9
刑大舅二姐,邢夫人,妹,1,0.8
刘姥姥,刘氏,母亲,1,0.9
刘氏,王狗儿,妻,1,1
北静王太妃,北静郡王,儿媳,1,0.7
北静王少妃,水溶,妻,1,1
北静郡王长府官,水溶,臣,1,0.7
南安王太妃,南安郡王,妻,1,1
南安郡王之孙,南安郡王,孙子,1,0.7
卜世仁,五嫂子卜氏,兄弟,1,0.8
卜世仁娘子,卜世仁,妻,1,1
卜世仁店里伙计,卜世仁,伙计,1,0.6
卜银姐,卜世仁,女,1,0.9
卫若兰,史湘云,夫,1,1
厨房中的柳家媳妇,柳五儿,母亲,1,0.9
双寿,贾宝玉,奴仆,1,0.6
双瑞,贾宝玉,奴仆,1,0.6
史湘云,湘云母,女,1,0.9
史湘云爷爷,史侯,子,1,0.9
史鼎,史湘云爷爷,子,1,0.9
史鼎的夫人,史鼎,妻,1,1
史鼐,史湘云爷爷,子,1,0.9
叶茗烟,贾宝玉,奴仆,1,0.6
同喜,薛姨妈,丫鬟,1,0.6
同贵,薛姨妈,丫鬟,1,0.6
吴天佑,吴贵妃,父亲,1,0.9
吴贵,晴雯,表兄,1,0.8
吴贵妃,皇帝,妃,1,0.9
周奶妈,史湘云,乳母,1,0.6
周妈妈,周秀才,母亲,1,0.9
周姨娘,贾政,妾,1,0.7
周嫂子的儿子,周瑞,子,1,0.9
周琼之子,贾探春,夫,1,1
周瑞,王夫人,奴仆,1,0.6
周瑞女儿,周瑞,女,1,0.9
周秀才,贾巧姐,姐夫,1,0.7
周财主,周秀才,父亲,1,0.9
周贵人,皇帝,妃,1,0.9
周贵人父亲,周贵人,父亲,1,0.9
哥嫂侄儿,柳五儿,侄,1,0.7
善姐,尤二姐,丫鬟,1,0.6
善姐,尤二姐,丫鬟,1,0.6
喜儿,薛宝钗,丫鬟,1,0.6
喜儿,贾珍,奴仆,1,0.6
墨雨,贾宝玉,奴仆,1,0.6
夏三,夏奶奶,子,1,0.9
夏奶奶,夏金桂,母亲,1,0.9
夏婆子,何春燕,姨妈,1,0.7
夏婆子,藕官,干娘,1,0.7
夏婆子,小蝉,外祖母,1,0.7
夏守忠,皇帝,臣,1,0.7
夏金桂,薛蟠,妻,1,1
多姑娘儿,多官,妻,1,1
多官,晴雯,表哥,1,0.8
多浑虫父亲,晴雯,舅,1,0.7
大姑娘,甄应嘉,女,1,0.9
天子之妻,应天府门子,妻,1,1
太上皇,先皇,子,1,0.9
太妃,太上皇,嫔妃,1,0.9
太祖皇帝,先皇,父亲,1,0.9
娄氏,贾源,重孙媳妇,1,0.7
娇杏,贾化,妻,1,1
娇红,贾赦,妾,1,0.7
媚人,贾宝玉,丫鬟,1,0.6
嫣红,贾赦,妾,1,0.7
孙亲太太,孙绍祖,母亲,1,0.9
孙绍祖,贾迎春,夫,1,1
宋嬷嬷,贾宝玉,奴仆,1,0.6
宝珠,秦可卿,丫鬟,1,0.6
宝蟾,夏金桂,丫鬟,1,0.6
宝钗祖父,薛公,子,1,0.9
寿儿,贾珍,奴仆,1,0.6
小丫头子,贾芸,丫鬟,1,0.6
小吉祥,赵姨娘,丫鬟,1,0.6
小舍儿,夏金桂,丫鬟,1,0.6
小蝉,贾探春,丫鬟,1,0.6
小螺,薛宝琴,丫鬟,1,0.6
小霞,彩霞,妹,1,0.8
小鸠儿,何春燕,妹,1,0.8
小鹊,赵姨娘,丫鬟,1,0.6
尤三姐,柳湘莲,女友,1,0.9
尤三姐,尤老娘,女,1,0.9
尤二姐,贾琏,妾,1,0.7
尤二姐,贾琏,妾,1,0.7
尤二姐,尤老娘,女,1,0.9
尤氏,尤老娘,女,1,0.9
尤氏,贾珍,妻,1,1
平儿,贾琏,妾,1,0.7
庆儿,贾琏,奴仆,1,0.6
应天府门子,贾化,子,1,0.9
引泉,贾宝玉,奴仆,1,0.6
张大老爷,邢夫人,老亲,1,0.7
张大老爷之女,张大老爷,女,1,0.9
张大财主,净虚,施主,1,0.5
张如圭,贾化,友人,1,0.7
张嬷嬷,贾宝玉,乳母,1,0.6
张若锦,贾宝玉,奴仆,1,0.6
张金哥,张大财主,女,1,0.9
彩云,王夫人,丫鬟,1,0.6
彩儿,贾惜春,丫鬟,1,0.6
彩屏,贾惜春,丫鬟,1,0.6
彩明,王熙凤,丫鬟,1,0.6
彩霞,王夫人,丫鬟,1,0.6
彩霞之母,彩霞,母亲,1,0.9
彩鸾,王夫人,丫鬟,1,0.6
戚建辉,襄阳侯,孙子,1,0.7
戴权,皇帝,臣,1,0.7
扫红,贾宝玉,奴仆,1,0.6
扫花,贾宝玉,奴仆,1,0.6
抱琴,贾元春,丫鬟,1,0.6
挑云,贾宝玉,奴仆,1,0.6
文官,贾母,丫鬟,1,0.6
文杏,薛宝钗,丫鬟,1,0.6
文花,贾珍,妾,1,0.7
新进来的奶子,贾兰,奶妈,1,0.7
旺儿媳妇,王熙凤,丫鬟,1,0.6
春纤,林黛玉,丫鬟,1,0.6
昭儿,贾琏,奴仆,1,0.6
晴雯,贾宝玉,丫鬟,1,0.6
智善,净虚,徒弟,1,0.7
智善,净虚,徒弟,1,0.7
智能儿,净虚,徒弟,1,0.7
智能儿,秦钟,女友,1,0.9
智通,净虚,徒弟,1,0.7
智通,净虚,徒弟,1,0.7
李公子,张金哥,雇主,1,0.5
李妈,贾巧姐,乳母,1,0.6
李婶,李守中,弟媳,1,0.8
李婶之弟,李婶,弟,1,0.8
李嬷嬷,贾宝玉,乳母,1,0.6
李嬷嬷孙子,贾宝玉,奴仆,1,0.6
李守中,李纨,父亲,1,0.9
李纨,贾珠,妻,1,1
李纹,李婶,女,1,0.9
李绮,李婶,女,1,0.9
李衙内,长安府府太爷,小舅子,1,0.9
李贵,李嬷嬷,子,1,0.9
杏奴,柳湘莲,奴仆,1,0.6
来喜家的,王熙凤,奴仆,1,0.6
来旺儿,王熙凤,奴仆,1,0.6
林之孝,林红玉,父亲,1,0.9
林如海,贾敏,夫,1,1
林如海之子,林如海,子,1,0.9
林如海之父,林如海,父亲,1,0.9
林如海之祖,林如海,祖父,1,0.7
林红玉,王熙凤,丫鬟,1,0.6
林黛玉,林如海,女,1,0.9
柳二媳妇的妹子,柳五儿,妹,1,0.8
柳五儿,贾宝玉,丫鬟,1,0.6
柳芳,柳彪,孙子,1,0.7
