296,328,7772.77,7946.2
贾迎春,2,2237.79,2157.31,../SocialNetworkAnalist/img/jyinc.png
赵国基,7,1666.08,-1515.37,null
赵天栋,7,-431.749,437.952,null
赵天梁,7,-560.077,658.146,null
赵姨娘,2,1481.01,-1351.25,null
赵嬷嬷,2,-367.073,612.032,null
迎春乳母,2,2160.42,2625.77,null
通判傅试,7,731.292,-1060,null
邢夫人,2,1225.99,1630.44,../SocialNetworkAnalist/img/xfr.png
邢岫烟,2,-697.547,962.14,null
邢德全,7,1119.38,1783.49,null
邢忠,7,303.838,1329.78,null
金彩,7,3069.28,18.2416,null
金文翔,7,2996.68,190.751,null
金氏,7,-1216.4,1920.96,null
金荣,7,-1003.79,2035.48,null
金鸳鸯,2,2793.57,50.4766,null
钱槐,7,1347.15,-1185.56,null
银蝶,3,154.931,3189.95,null
锄药,2,-1150.14,-1393.16,null
长安原任守备,7,3519.77,2084.77,null
隆儿,2,177.655,2482.89,null
雪雁,2,-103.007,-1964.81,null
香菱,7,-3612.05,539.64,null
鲍二,2,736.548,2506.88,null
鹦鹉,2,2367.45,-171.268,null
麝月,2,-589.272,-702.373,null
龄官,7,395.196,518.451,null
三姑娘,甄应嘉,女,1,0.9
丰儿,王熙凤,丫鬟,1,0.6
二姑娘,甄应嘉,女,1,0.9
于老爷,净虚,施主,1,0.5
伴鹤,贾宝玉,奴仆,1,0.6
何三,周瑞,干儿子,1,0.7
何婆,何春燕,母亲,1,0.9
何婆,芳官,干娘,1,0.7
何春燕,贾宝玉,丫鬟,1,0.6
佩凤,贾珍,妾,1,0.7
侍书,贾探春,丫鬟,1,0.6
保宁侯之子,王子腾之女,夫,1,1
偕鸾,贾珍,妾,1,0.7
傻大姐,贾母,丫鬟,1,0.6
傻大姐的娘,傻大姐,母亲,1,0.9
入画,贾惜春,丫鬟,1,0.6
兴儿,贾琏,奴仆,1,0.6
冷子兴,周瑞,女婿,1,0.7
净虚,智能儿,师父,1,0.8
凤姐之祖王夫人之父,王公,子,1,0.9
刑大舅二姐,邢夫人,妹,1,0.8
刘姥姥,刘氏,母亲,1,0.9
刘氏,王狗儿,妻,1,1
卫若兰,史湘云,夫,1,1
厨房中的柳家媳妇,柳五儿,母亲,1,0.9
双寿,贾宝玉,奴仆,1,0.6
双瑞,贾宝玉,奴仆,1,0.6
史湘云,湘云母,女,1,0.9
史湘云爷爷,史侯,子,1,0.9
史鼎,史湘云爷爷,子,1,0.9
史鼎的夫人,史鼎,妻,1,1
史鼐,史湘云爷爷,子,1,0.9
叶茗烟,贾宝玉,奴仆,1,0.6
同喜,薛姨妈,丫鬟,1,0.6
同贵,薛姨妈,丫鬟,1,0.6
吴天佑,吴贵妃,父亲,1,0.9
吴贵,晴雯,表兄,1,0.8
吴贵妃,皇帝,妃,1,0.9
周奶妈,史湘云,乳母,1,0.6
周妈妈,周秀才,母亲,1,0.9
周姨娘,贾政,妾,1,0.7
周嫂子的儿子,周瑞,子,1,0.9
周琼之子,贾探春,夫,1,1
周瑞,王夫人,奴仆,1,0.6
周瑞女儿,周瑞,女,1,0.9
周秀才,贾巧姐,姐夫,1,0.7
周财主,周秀才,父亲,1,0.9
周贵人,皇帝,妃,1,0.9
周贵人父亲,周贵人,父亲,1,0.9
哥嫂侄儿,柳五儿,侄,1,0.7
善姐,尤二姐,丫鬟,1,0.6
善姐,尤二姐,丫鬟,1,0.6
喜儿,薛宝钗,丫鬟,1,0.6
喜儿,贾珍,奴仆,1,0.6
夏三,夏奶奶,子,1,0.9
夏奶奶,夏金桂,母亲,1,0.9
夏婆子,何春燕,姨妈,1,0.7
夏婆子,藕官,干娘,1,0.7
夏婆子,小蝉,外祖母,1,0.7
夏守忠,皇帝,臣,1,0.7
夏金桂,薛蟠,妻,1,1
多姑娘儿,多官,妻,1,1
多官,晴雯,表哥,1,0.8
多浑虫父亲,晴雯,舅,1,0.7
大姑娘,甄应嘉,女,1,0.9
太上皇,先皇,子,1,0.9
太妃,太上皇,嫔妃,1,0.9
